0,1,2,3,4,5,6,7,8,9
Theft,May 06 2022,19:24 UTC,S,S 5 ° 50 ' 0 '',E,E 13 ° 26 ' 0 '',Theft,Serial 22/020 | May 06 2022,Two intruders were sighted on the deck of an MV (NAME WITHHELD) at berth at Matadi port. They fled on a craft with a third person with vessel equipment. Crew safe.
Theft,May 02 2022,01:33 UTC,S,S 4 ° 45 ' 0 '',E,E 11 ° 49 ' 36 '',Theft attempt,Serial 22/019 | May 02 2022,"During the night of the 02nd May 2022, an attempted theft occured on an MV(NAME-WITHHELD). A pirogue with two people on board approached the vessel with all lights off. The protection team saw the pirogue and on seeing the pair, the people turned back towards the coast."
Theft,Apr 13 2022,04:00 UTC,N,N 4 ° 53 ' 9 '',W,W 1 ° 40 ' 9 '',THEFT,Serial 22/018 | Apr 13 2022,"On the 13th April 2022 in the early morning, a theft occurred on a cargo ship (NAME-WITHEHELD) whilst at Takoradi port area. Port authorities were alerted."
Irregular Activity,Apr 05 2022,13:47 UTC,N,N 4 ° 44 ' 31 '',E,E 5 ° 0 ' 54 '',WARNING 002/APR/22 INCREASED OF PIRACY THREAT,Serial warning 002 | Apr 05 2022,MDAT-GOG has been made aware that there is an increased threat of piracy activity in the following area. Cancel this Warning on the 07th April at 1347 UTC POSITION:  0500N – 00230E                            0500N – 00550E                            0330N – 00230E                            0330N – 00550E
Boarding,Apr 03 2022,18:48 UTC,N,N 1 ° 26 ' 58 '',E,E 1 ° 15 ' 35 '',WARNING 001/APR/22 UPDATE 001,Serial 001/APR/22 | Apr 03 2022,"Vessel in position: 013113N 0013019E boarded by unknown persons. Investigations are ongoing. UPDATE: Incident complete, all crew and vessel safe"
Irregular Activity,Mar 21 2022,09:05 UTC,N,N 2 ° 30 ' 0 '',E,E 7 ° 30 ' 0 '',INCREASED OF PIRACY THREAT WARNING 002/MAR/22,Serial 002/MAR/22 | Mar 21 2022,MDAT-GOG has been made aware that there is an increased threat of piracy activity in the following area. Cancel this Warning on the 23rd MARCH 2022 0840 UTC 4. POSITION: 02°30N 005°00E 02°30N 007°30E 05°00N 007°30E 05°00N 005°00E Vessels transiting the area are advised to exercise caution 5. SOURCE: Third party
Irregular Activity,Mar 21 2022,09:05 UTC,N,N 3 ° 39 ' 23 '',E,E 7 ° 56 ' 24 '',INCREASED OF PIRACY THREAT WARNING 002/MAR/22 001,Serial 002/MAR/22 001 | Mar 21 2022,MDAT-GOG has been made aware that there is an increased threat of piracy activity in the following area. Cancel this Warning on the 23rd MARCH 2022 0840 UTC 4. POSITION: 02°30N 005°00E 02°30N 007°30E 05°00N 007°30E 05°00N 005°00E Vessels transiting the area are advised to exercise caution 5. SOURCE: Third party
Theft,Mar 19 2022,04:45 UTC,N,N 6 ° 26 ' 0 '',E,E 3 ° 23 ' 0 '',THEFT,Serial 22/016 | Mar 19 2022,"On the 19th March at 0445UTC, a theft occured on a MV whilst berthed at Lagos port area."
Irregular Activity,Mar 07 2022,12:31 UTC,N,N 5 ° 0 ' 0 '',E,E 7 ° 30 ' 0 '',INCREASED OF PIRACY THREAT,Serial 001/MAR/22 | Mar 07 2022,MDAT-GOG has been made aware that there is an increased threat of piracy activity in the following area for the next 24 to 48 hours. 05°00’N – 005°00’E 05°00’N – 007°30’E 02°30’N – 007°30’E 02°30’N – 005°00’E 4. We strongly recommend that the seafaring community (all Shipping) transiting this area increase their vigilance and retain an enhanced local surveillance and apply BMP WA procedures
Miscellaneous,Feb 23 2022,09:00 UTC,N,N 4 ° 54 ' 0 '',W,W 1 ° 44 ' 0 '',MDAT NOTICE 001/FEB/2022,Serial 001 | Feb 23 2022,The Ghana Ports and Harbour Authorities have issued a local notice to inform mariners that port sea patrols will visit each vessel within the dedicated anchorage area between 2200hrs to 0400hrs local time every day. The patrol team will be flashing searchlights to reassure vessels of the port authority’s support in the event of any suspicious activity.
Theft,Feb 23 2022,03:00 UTC,S,S 8 ° 46 ' 0 '',E,E 13 ° 15 ' 0 '',THEFT,Serial 22/015 | Feb 23 2022,On the 23nd February a theft occured on a supply vessel (NAME WITHHELD) at Luanda anchorage. The incident was reported to port authorities.
